"Woonplaatsen in Nederland, 2012"
"Onderwerpen";"Woonplaats";"Woonplaats";"Gemeente";"Gemeente"
"Onderwerpen";"Naam ";"Code";"Naam ";"Code "
"Plaatsnamen";"Naam";"Code";"Naam";"Code"
"Aadorp";"Aadorp";"1925";"Almelo";"0141"
"Aagtekerke";"Aagtekerke";"2774";"Veere";"0717"
"Aalden";"Aalden";"2145";"Coevorden";"0109"
"Aalsmeer";"Aalsmeer";"2571";"Aalsmeer";"0358"
"Aalsmeerderbrug";"Aalsmeerderbrug";"1600";"Haarlemmermeer";"0394"
"Aalst";"Aalst";"2626";"Zaltbommel";"0297"
"Aalsum";"Aalsum";"3387";"Dongeradeel";"0058"
"Aalten";"Aalten";"1193";"Aalten";"0197"
"Ter Aar";"Ter Aar";"2673";"Nieuwkoop";"0569"
"Ter Aard";"Ter Aard";"2394";"Assen";"0106"
"Aardenburg";"Aardenburg";"2961";"Sluis";"1714"
"Aarlanderveen";"Aarlanderveen";"1079";"Alphen aan den Rijn";"0484"
"Aarle-Rixtel";"Aarle-Rixtel";"1445";"Laarbeek";"1659"
"Aartswoud";"Aartswoud";"2788";"Opmeer";"0432"
"Abbega";"Abbega";"2400";"Súdwest Fryslân";"1900"
"Abbekerk";"Abbekerk";"3147";"Medemblik";"0420"
"Abbenbroek";"Abbenbroek";"1385";"Bernisse";"0568"
"Abbenes";"Abbenes";"1608";"Haarlemmermeer";"0394"
"Abcoude";"Abcoude";"1332";"De Ronde Venen";"0736"
"Achlum";"Achlum";"1364";"Franekeradeel";"0070"
"Achterveld";"Achterveld";"1063";"Barneveld";"0203"
"Achterveld";"Achterveld";"2640";"Leusden";"0327"
"Achthuizen";"Achthuizen";"2131";"Oostflakkee";"0580"
"Achtmaal";"Achtmaal";"3493";"Zundert";"0879"
"Acquoy";"Acquoy";"3527";"Geldermalsen";"0236"
"Adorp";"Adorp";"2464";"Winsum";"0053"
"Aduard";"Aduard";"2114";"Zuidhorn";"0056"
"Aerdenhout";"Aerdenhout";"2652";"Bloemendaal";"0377"
"Aerdt";"Aerdt";"2976";"Rijnwaarden";"0196"
"Afferden";"Afferden";"2902";"Druten";"0225"
"Afferden (L.)";"Afferden (L.)";"1122";"Bergen (L.)";"0893"
"Agelo";"Agelo";"1407";"Dinkelland";"1774"
"Akersloot";"Akersloot";"2267";"Castricum";"0383"
"Akkrum";"Akkrum";"2525";"Boarnsterhim";"0055"
"Akmarijp";"Akmarijp";"2484";"Skarsterlân";"0051"
"Albergen";"Albergen";"1283";"Tubbergen";"0183"
"Alblasserdam";"Alblasserdam";"2386";"Alblasserdam";"0482"
"Alde Leie";"Alde Leie";"3224";"Leeuwarderadeel";"0081"
"Aldeboarn";"Aldeboarn";"2532";"Boarnsterhim";"0055"
"Aldtsjerk";"Aldtsjerk";"2441";"Tytsjerksteradiel";"0737"
